"HITId","CreationTime","Expiration","NumberOfSimilarHITs","WorkerId","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","WorkTimeInSeconds","Input.query","Input.docA","Input.docB","Input.time","Answer.comment","Answer.bground","Answer.radio"
5,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",35,6,"Thu Apr 15 00:30:24 GMT 2010","Thu Apr 15 00:30:53 GMT 2010","Thu Apr 22 00:30:53 GMT 2010","Thu Apr 15 02:49:21 PDT 2010",29,"700.010.591-1.4.2","700.010.591-1.4.2","190.025.736-1.1.1",12,"","","a"
5,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",35,15,"Thu Apr 15 05:47:03 GMT 2010","Thu Apr 15 05:47:44 GMT 2010","Thu Apr 22 05:47:44 GMT 2010","Thu Apr 15 02:46:44 PDT 2010",41,"700.010.591-1.4.2","700.010.591-1.4.2","190.025.736-1.1.1",12,"","","a"
5,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",35,7,"Wed Apr 14 20:47:16 GMT 2010","Wed Apr 14 20:47:28 GMT 2010","Wed Apr 21 20:47:28 GMT 2010","Thu Apr 15 02:47:42 PDT 2010",12,"700.010.591-1.4.2","700.010.591-1.4.2","190.025.736-1.1.1",12,"","","a"
5,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",35,1,"Wed Apr 14 20:24:50 GMT 2010","Wed Apr 14 20:25:12 GMT 2010","Wed Apr 21 20:25:12 GMT 2010","Thu Apr 15 02:54:59 PDT 2010",22,"700.010.591-1.4.2","700.010.591-1.4.2","190.025.736-1.1.1",12,"","no","a"
5,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",35,17,"Wed Apr 14 20:03:12 GMT 2010","Wed Apr 14 20:07:05 GMT 2010","Wed Apr 21 20:07:05 GMT 2010","Thu Apr 15 02:58:29 PDT 2010",233,"700.010.591-1.4.2","700.010.591-1.4.2","190.025.736-1.1.1",12,"","","a"
5,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",35,18,"Thu Apr 15 04:30:39 GMT 2010","Thu Apr 15 04:30:56 GMT 2010","Thu Apr 22 04:30:56 GMT 2010","Thu Apr 15 02:58:23 PDT 2010",17,"700.010.591-1.4.2","700.010.591-1.4.2","190.025.736-1.1.1",12,"","","a"
5,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",35,10,"Thu Apr 15 04:46:20 GMT 2010","Thu Apr 15 04:46:46 GMT 2010","Thu Apr 22 04:46:46 GMT 2010","Thu Apr 15 02:59:18 PDT 2010",26,"700.010.591-1.4.2","700.010.591-1.4.2","190.025.736-1.1.1",12,"","","a"
5,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",35,8,"Wed Apr 14 23:45:59 GMT 2010","Wed Apr 14 23:46:33 GMT 2010","Wed Apr 21 23:46:33 GMT 2010","Thu Apr 15 02:56:04 PDT 2010",34,"700.010.591-1.4.2","700.010.591-1.4.2","190.025.736-1.1.1",12,"no","no","a"
6,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",32,4,"Wed Apr 14 23:13:38 GMT 2010","Wed Apr 14 23:13:56 GMT 2010","Wed Apr 21 23:13:56 GMT 2010","Thu Apr 15 02:51:23 PDT 2010",18,"400.065.784-1.1.1","450.027.409-1.1.1","850.021.020-1.1.1",6,"","","a"
6,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",32,8,"Wed Apr 14 23:59:12 GMT 2010","Wed Apr 14 23:59:39 GMT 2010","Wed Apr 21 23:59:39 GMT 2010","Thu Apr 15 02:55:56 PDT 2010",27,"400.065.784-1.1.1","450.027.409-1.1.1","850.021.020-1.1.1",6,"no","no","b"
6,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",32,9,"Wed Apr 14 20:22:34 GMT 2010","Wed Apr 14 20:22:58 GMT 2010","Wed Apr 21 20:22:58 GMT 2010","Thu Apr 15 02:48:50 PDT 2010",24,"400.065.784-1.1.1","450.027.409-1.1.1","850.021.020-1.1.1",6,"","","a"
6,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",32,6,"Thu Apr 15 02:35:10 GMT 2010","Thu Apr 15 02:35:28 GMT 2010","Thu Apr 22 02:35:28 GMT 2010","Thu Apr 15 02:49:26 PDT 2010",18,"400.065.784-1.1.1","450.027.409-1.1.1","850.021.020-1.1.1",6,"","","b"
6,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",32,7,"Wed Apr 14 20:35:07 GMT 2010","Wed Apr 14 20:35:19 GMT 2010","Wed Apr 21 20:35:19 GMT 2010","Thu Apr 15 02:47:30 PDT 2010",12,"400.065.784-1.1.1","450.027.409-1.1.1","850.021.020-1.1.1",6,"","","b"
6,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",32,15,"Wed Apr 14 18:34:29 GMT 2010","Wed Apr 14 19:30:49 GMT 2010","Wed Apr 21 19:30:49 GMT 2010","Thu Apr 15 02:46:36 PDT 2010",3380,"400.065.784-1.1.1","450.027.409-1.1.1","850.021.020-1.1.1",6,"","","b"
6,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",32,1,"Wed Apr 14 20:15:51 GMT 2010","Wed Apr 14 20:16:07 GMT 2010","Wed Apr 21 20:16:07 GMT 2010","Thu Apr 15 02:55:07 PDT 2010",16,"400.065.784-1.1.1","450.027.409-1.1.1","850.021.020-1.1.1",6,"","no","b"
6,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",32,18,"Thu Apr 15 04:44:13 GMT 2010","Thu Apr 15 04:44:29 GMT 2010","Thu Apr 22 04:44:29 GMT 2010","Thu Apr 15 02:58:39 PDT 2010",16,"400.065.784-1.1.1","450.027.409-1.1.1","850.021.020-1.1.1",6,"","","s"
6,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",32,17,"Thu Apr 15 05:45:47 GMT 2010","Thu Apr 15 06:30:35 GMT 2010","Thu Apr 22 06:30:35 GMT 2010","Thu Apr 15 02:58:19 PDT 2010",2688,"400.065.784-1.1.1","450.027.409-1.1.1","850.021.020-1.1.1",6,"","","b"
6,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",32,3,"Wed Apr 14 19:24:25 GMT 2010","Wed Apr 14 19:24:40 GMT 2010","Wed Apr 21 19:24:40 GMT 2010","Thu Apr 15 02:54:22 PDT 2010",15,"400.065.784-1.1.1","450.027.409-1.1.1","850.021.020-1.1.1",6,"","","b"
7,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",75,4,"Wed Apr 14 23:16:12 GMT 2010","Wed Apr 14 23:16:27 GMT 2010","Wed Apr 21 23:16:27 GMT 2010","Thu Apr 15 02:51:23 PDT 2010",15,"700.010.591-1.4.2","550.255.013-1.4.2","700.010.591-1.4.2",15,"","","a"
7,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",75,7,"Wed Apr 14 20:32:38 GMT 2010","Wed Apr 14 20:32:54 GMT 2010","Wed Apr 21 20:32:54 GMT 2010","Thu Apr 15 02:47:25 PDT 2010",16,"700.010.591-1.4.2","550.255.013-1.4.2","700.010.591-1.4.2",15,"","","b"
7,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",75,1,"Wed Apr 14 20:03:45 GMT 2010","Wed Apr 14 20:04:08 GMT 2010","Wed Apr 21 20:04:08 GMT 2010","Thu Apr 15 02:55:06 PDT 2010",23,"700.010.591-1.4.2","550.255.013-1.4.2","700.010.591-1.4.2",15,"","no","b"
7,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",75,18,"Thu Apr 15 04:34:47 GMT 2010","Thu Apr 15 04:35:13 GMT 2010","Thu Apr 22 04:35:13 GMT 2010","Thu Apr 15 02:58:23 PDT 2010",26,"700.010.591-1.4.2","550.255.013-1.4.2","700.010.591-1.4.2",15,"","","b"
7,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",75,10,"Thu Apr 15 03:35:45 GMT 2010","Thu Apr 15 03:36:06 GMT 2010","Thu Apr 22 03:36:06 GMT 2010","Thu Apr 15 02:59:17 PDT 2010",21,"700.010.591-1.4.2","550.255.013-1.4.2","700.010.591-1.4.2",15,"","","b"
7,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",75,8,"Wed Apr 14 23:46:33 GMT 2010","Wed Apr 14 23:47:13 GMT 2010","Wed Apr 21 23:47:13 GMT 2010","Thu Apr 15 02:55:55 PDT 2010",40,"700.010.591-1.4.2","550.255.013-1.4.2","700.010.591-1.4.2",15,"no","no","b"
7,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",75,17,"Wed Apr 14 21:23:16 GMT 2010","Wed Apr 14 21:43:36 GMT 2010","Wed Apr 21 21:43:36 GMT 2010","Thu Apr 15 02:58:30 PDT 2010",1220,"700.010.591-1.4.2","550.255.013-1.4.2","700.010.591-1.4.2",15,"","","b"
7,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",75,6,"Thu Apr 15 00:33:07 GMT 2010","Thu Apr 15 00:33:31 GMT 2010","Thu Apr 22 00:33:31 GMT 2010","Thu Apr 15 02:49:32 PDT 2010",24,"700.010.591-1.4.2","550.255.013-1.4.2","700.010.591-1.4.2",15,"","","b"
7,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",75,9,"Wed Apr 14 19:22:31 GMT 2010","Wed Apr 14 19:23:10 GMT 2010","Wed Apr 21 19:23:10 GMT 2010","Thu Apr 15 02:48:54 PDT 2010",39,"700.010.591-1.4.2","550.255.013-1.4.2","700.010.591-1.4.2",15,"","","b"
7,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",75,15,"Wed Apr 14 19:34:58 GMT 2010","Wed Apr 14 19:36:15 GMT 2010","Wed Apr 21 19:36:15 GMT 2010","Thu Apr 15 02:46:35 PDT 2010",77,"700.010.591-1.4.2","550.255.013-1.4.2","700.010.591-1.4.2",15,"","","b"
8,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",40,7,"Wed Apr 14 20:33:44 GMT 2010","Wed Apr 14 20:33:57 GMT 2010","Wed Apr 21 20:33:57 GMT 2010","Thu Apr 15 02:47:36 PDT 2010",13,"600.053.481-1.1.1","250.005.056-1.3.2","451.503.664-1.1.1",10,"","","b"
8,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",40,14,"Wed Apr 14 20:20:39 GMT 2010","Wed Apr 14 20:21:07 GMT 2010","Wed Apr 21 20:21:07 GMT 2010","Thu Apr 15 02:46:39 PDT 2010",28,"600.053.481-1.1.1","250.005.056-1.3.2","451.503.664-1.1.1",10,"","","s"
8,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",40,9,"Wed Apr 14 19:06:36 GMT 2010","Wed Apr 14 19:07:17 GMT 2010","Wed Apr 21 19:07:17 GMT 2010","Thu Apr 15 02:48:55 PDT 2010",41,"600.053.481-1.1.1","250.005.056-1.3.2","451.503.664-1.1.1",10,"","","a"
